키워드,검색량,PC,모바일,흥행지수,성별,나이,Actor,Average Rating,newsTitle
최민식,63080,8080,55000,34949,남,63,최민식,7.823333333333333,681
김고은,208700,18600,190100,27733,여,34,김고은,7.043333333333333,858
김민재,259000,36600,222400,26224,남,46,김민재,6.64,4759
황정민,109300,11300,98000,31326,남,55,황정민,7.294999999999999,1106
이범수,22760,2460,20300,28122,남,55,이범수,6.025,316
이준혁,430900,45300,385600,23209,남,41,이준혁,7.4375,821
김무열,64080,5480,58600,19917,남,43,김무열,5.903333333333333,459
유해진,55710,6010,49700,20962,남,55,유해진,7.363333333333333,538
정우성,149400,19300,130100,18811,남,52,정우성,7.128333333333333,2253
이성민,30650,4150,26500,19223,남,57,이성민,7.345,455
박지환,37280,3980,33300,18043,남,45,박지환,6.798333333333332,571
박정민,156300,15300,141000,12740,남,38,박정민,7.56,731
정해인,431200,35100,396100,14481,남,37,정해인,7.5175,1347
이동휘,46410,5710,40700,16163,남,40,이동휘,5.883333333333333,508
박해준,89200,10500,78700,13184,남,49,박해준,7.053333333333334,116
정만식,14460,1660,12800,12434,남,51,정만식,6.463333333333334,56
강하늘,73680,9980,63700,11009,남,35,강하늘,7.68,475
김성균,35770,2870,32900,11094,남,45,김성균,7.4025,393
전석호,20380,1880,18500,11331,남,41,전석호,7.053999999999999,31
김혜수,170400,18500,151900,10699,여,55,김혜수,6.726666666666667,1040
하정우,137000,17800,119200,10275,남,47,하정우,6.581666666666666,1240
박서준,113800,12100,101700,9698,남,37,박서준,6.793333333333333,1258
염정아,28980,2880,26100,10074,여,53,염정아,7.508333333333333,509
조정석,67480,7280,60200,9966,남,45,조정석,7.32,914
오대환,25630,2930,22700,8754,남,46,오대환,5.59,75
이도현,114100,12800,101300,8732,남,30,이도현,7.6,800
오달수,18870,2070,16800,8562,남,57,오달수,5.986666666666667,44
유재명,25560,3360,22200,8323,남,52,유재명,7.031666666666667,245
전여빈,66050,8450,57600,8680,여,36,전여빈,7.3675,497
장윤주,26780,2980,23800,8589,여,45,장윤주,6.882,353
이병헌,258600,30400,228200,8319,남,55,이병헌,7.0840000000000005,1457
고규필,16980,2180,14800,8307,남,43,고규필,6.051666666666667,255
현빈,88010,9810,78200,8049,남,43,현빈,7.2075,954
한선화,39320,4120,35200,7223,여,35,한선화,6.7325,296
이주명,43780,3980,39800,7784,여,32,이주명,5.6,274
이지훈,149250,8450,140800,7178,남,46,이지훈,6.13,406
김종수,11390,1570,9820,6434,남,46,김종수,5.983333333333333,205
허준호,127030,7630,119400,6802,남,61,허준호,6.778333333333333,227
조인성,64040,9440,54600,7140,남,44,조인성,7.512499999999999,792
조우진,37280,4180,33100,6984,남,46,조우진,7.459999999999999,209
곽도원,26910,3510,23400,6361,남,51,곽도원,6.8575,136
김윤석,39780,4480,35300,5373,남,57,김윤석,7.481666666666666,267
주원,30060,3660,26400,5565,남,38,주원,6.75,978
정소민,99100,10500,88600,5504,여,36,정소민,6.67,637
박보영,587500,60000,527500,5545,여,35,박보영,7.67,1013
김선영,45430,4730,40700,5360,여,49,김선영,7.800000000000001,367
김시후,10030,720,9310,5115,남,37,김시후,7.41,127
이주빈,119700,16800,102900,4737,여,36,이주빈,6.13,264
이무생,17670,1770,15900,4915,남,45,이무생,5.6825,306
박훈,25910,2910,23000,5102,남,44,박훈,8.2125,115
